trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-304.5803433450794,"{0: 9, 1: 0, 2: 11, 3: 0, 4: 5}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-318.56911496907594,"{0: 7, 1: 0, 2: 13, 3: 0, 4: 5}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.50918124518553,"{0: 9, 1: 0, 2: 11, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-214.68703134297692,"{0: 7, 1: 0, 2: 10, 3: 0, 4: 3}",0
