trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
429,False,"{'a': 0.5, 'e': 0.11706803704412637}",20,11,17.59359015762907,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
430,False,"{'a': 0.5, 'e': 0.11648415777349697}",20,0,-13.180871449293456,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
431,False,"{'a': 0.5, 'e': 0.11590319061287874}",30,18,-40.30550251245607,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
432,False,"{'a': 0.5, 'e': 0.11532512103806251}",20,2,18.054843776753522,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
433,False,"{'a': 0.5, 'e': 0.11474993459727875}",20,8,12.820380599282402,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
434,False,"{'a': 0.5, 'e': 0.1141776169108365}",25,3,31.854305320956154,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
435,False,"{'a': 0.5, 'e': 0.11360815367076371}",20,12,7.407118721128742,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
436,False,"{'a': 0.5, 'e': 0.11304153064044985}",25,19,12.815910587973349,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
437,False,"{'a': 0.5, 'e': 0.11247773365428958}",20,0,-26.65222404502578,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
438,False,"{'a': 0.5, 'e': 0.11191674861732888}",25,3,13.252727098878811,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
439,False,"{'a': 0.5, 'e': 0.11135856150491262}",30,22,-27.403664212146836,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
440,False,"{'a': 0.5, 'e': 0.11080315836233387}",25,10,9.959158139682767,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
441,False,"{'a': 0.5, 'e': 0.11025052530448522}",25,16,11.366839927973542,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
442,False,"{'a': 0.5, 'e': 0.10970064851551141}",20,0,23.957729253942034,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
443,False,"{'a': 0.5, 'e': 0.10915351424846406}",20,10,19.994153200661955,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
444,False,"{'a': 0.5, 'e': 0.10860910882495796}",30,16,29.514032377245922,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
445,False,"{'a': 0.5, 'e': 0.10806741863482926}",35,13,36.533536958868524,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
446,False,"{'a': 0.5, 'e': 0.10752843013579495}",25,5,-51.69807576034506,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",1
447,False,"{'a': 0.5, 'e': 0.10699212985311449}",20,3,21.2832558054707,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
448,False,"{'a': 0.5, 'e': 0.1064585043792528}",20,11,16.5435744301312,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
449,False,"{'a': 0.5, 'e': 0.10592754037354536}",30,12,33.14010911899192,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
450,False,"{'a': 0.5, 'e': 0.10539922456186433}",30,20,20.063137909266644,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
